Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
Spend Time Sitting,How much does this job require sitting?,41,More than half the time,31,About half the time,21,Less than half the time,,,,
Written Letters and Memos,How frequently does your job require written letters and memos?,13,Every day,30,Once a week or more but not every day,37,Once a month or more but not every week,13,Once a year or more but not every month,,
Physical Proximity,To what extent does this job require the worker to perform job tasks physically close to other people?,33,Moderately close (at arm's length),43,"Slightly close (e.g., shared office)",20,"I work with others but not closely (e.g., private office)",,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,23,Every day,23,Once a week or more but not every day,17,Once a month or more but not every week,30,Never,,
Deal With External Customers or the Public in General,How important is it to deal with external customers (as in retail sales) or the public in general (as in police work) in this job?,27,Very important,30,Important,20,Fairly important,13,Not important at all,,
"Indoors, Not Environmentally Controlled",How often does this job require working in an environment that is not environmentally controlled (like a warehouse without air conditioning)?,23,Once a week or more but not every day,27,Once a month or more but not every week,33,Once a year or more but not every month,,,,
Conflict Situations,How frequently are there conflict situations the employee has to face in this job?,20,Once a week or more but not every day,33,Once a month or more but not every week,37,Once a year or more but not every month,,,,
Public Speaking,How frequently does your job require public speaking (one speaker with an audience)?,23,Once a week or more but not every day,20,Once a month or more but not every week,43,Once a year or more but not every month,,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",21,More than half the time,21,About half the time,48,Less than half the time,,,,
Degree of Automation,How automated is the job?,27,Highly automated,20,Moderately automated,23,Slightly automated,23,Not at all automated,,
Spend Time Standing,How much does this job require standing?,17,More than half the time,31,About half the time,52,Less than half the time,,,,
Exposed to Hazardous Conditions,How often does this job require exposure to hazardous conditions?,17,Once a week or more but not every day,30,Once a month or more but not every week,27,Once a year or more but not every month,20,Never,,
Importance of Repeating Same Tasks,"How important are continuous, repetitive, physical activities (like key entry) or mental activities (like checking entries in a ledger) to performing this job?",20,Very important,33,Important,20,Fairly important,23,Not important at all,,
Pace Determined by Speed of Equipment,How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.),23,Extremely important,27,Fairly important,37,Not important at all,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",21,Once a month or more but not every week,34,Once a year or more but not every month,28,Never,,,,
"Dealing With Unpleasant, Angry, or Discourteous People","How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",20,Once a month or more but not every week,60,Once a year or more but not every month,,,,,,
Exposed to Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,17,Once a month or more but not every week,55,Once a year or more but not every month,21,Never,,,,
In an Enclosed Vehicle or Operate Enclosed Equipment,How often does this job require working in a closed vehicle or operate enclosed equipment (like a car)?,28,Once a month or more but not every week,31,Once a year or more but not every month,34,Never,,,,
"Exposed to Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,21,Once a month or more but not every week,38,Once a year or more but not every month,34,Never,,,,
Exposed to Extremely Bright or Inadequate Lighting Conditions,How often does this job require working in extremely bright or inadequate lighting conditions?,45,Once a year or more but not every month,34,Never,,,,,,
"Outdoors, Exposed to All Weather Conditions","How often does this job require working outdoors, exposed to all weather conditions?",23,Once a month or more but not every week,40,Once a year or more but not every month,33,Never,,,,
"Spend Time Kneeling, Crouching, Stooping, or Crawling","How much does this job require kneeling, crouching, stooping or crawling?",67,Less than half the time,20,Never,,,,,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,62,Less than half the time,24,Never,,,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (like in an open shed)?",13,Once a month or more but not every week,53,Once a year or more but not every month,30,Never,,,,
Spend Time Walking or Running,How much does this job require walking or running?,13,About half the time,67,Less than half the time,20,Never,,,,
Spend Time Bending or Twisting Your Body,How much does this job require bending or twisting your body?,67,Less than half the time,30,Never,,,,,,
"Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection","How often does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?",50,Once a year or more but not every month,40,Never,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,41,Once a year or more but not every month,52,Never,,,,,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",37,Once a year or more but not every month,53,Never,,,,,,
Work Schedules,How regular are the work schedules for this job?,28,"Irregular (changes with weather conditions, production demands, or contract duration)",72,"Regular (established routine, set schedule)",,,,,,
In an Open Vehicle or Operating Equipment,How often does this job require working in an open vehicle or operating equipment (like a tractor)?,37,Once a year or more but not every month,60,Never,,,,,,
Spend Time Keeping or Regaining Balance,How much does this job require keeping or regaining your balance?,27,Less than half the time,67,Never,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, poles, etc.?",34,Less than half the time,66,Never,,,,,,
Dealing with Violent or Physically Aggressive People,How frequently does this job require the worker to deal with physical aggression of violent individuals?,14,Once a year or more but not every month,86,Never,,,,,,
Exposed to Whole Body Vibration,How often does this job require exposure to whole body vibration (like operating a jackhammer or earth moving equipment)?,13,Once a year or more but not every month,87,Never,,,,,,
Exposed to Radiation,How often does this job require exposure to radiation?,96,Never,,,,,,,,
Exposed to Disease or Infections,How often does this job require exposure to disease/infections?,100,Never,,,,,,,,
